target,horizon,feature,abs_corr,mutual_info,lasso_selection_frequency,rank_score
CPIAUCSL,3,OILPRICEx,0.10307174544530529,0.11532922164140746,0.717948717948718,0.819672131147541
CPIAUCSL,3,PERMITMW,0.17180552995002416,0.12695769737899631,0.41025641025641024,0.8196721311475409
CPIAUCSL,3,T1YFFM,0.34798061562696186,0.15016402597349376,0.23076923076923078,0.8101092896174863
CPIAUCSL,3,PERMITNE,0.1455079194636664,0.09781525580613293,0.6666666666666666,0.8087431693989071
CPIAUCSL,3,CPIULFSL,0.09930018970779177,0.12922909268630223,0.38461538461538464,0.7800546448087431
CPIAUCSL,3,GS5,0.20361638773528526,0.07454784500840184,0.3333333333333333,0.7472677595628415
CPIAUCSL,3,CONSPI,0.07953821032393253,0.06874686129528085,0.8461538461538461,0.7418032786885247
CPIAUCSL,3,TB3MS,0.17187100534676403,0.051852788805498484,0.5897435897435898,0.7377049180327869
CPIAUCSL,3,HOUSTNE,0.17263676830103,0.06846016453823855,0.38461538461538464,0.7363387978142075
CPIAUCSL,3,CES1021000001,0.14046256202655624,0.06769030434881884,0.38461538461538464,0.7144808743169399
CPIAUCSL,3,BAAFFM,0.44483495704349263,0.20922695271782077,0.02564102564102564,0.7131147540983607
CPIAUCSL,3,FEDFUNDS,0.18636719626386866,0.07989953832704622,0.23076923076923078,0.6980874316939891
CPIAUCSL,3,HOUSTW,0.2068428394701115,0.056348148370448214,0.2564102564102564,0.6857923497267758
CPIAUCSL,3,TB6SMFFM,0.46444733476876165,0.21835047746623593,0.0,0.680327868852459
CPIAUCSL,3,GS1,0.17890896403198228,0.11905552580372358,0.07692307692307693,0.6775956284153005
CPIAUCSL,3,T10YFFM,0.44378114093755394,0.2420841695525935,0.0,0.6775956284153005
CPIAUCSL,3,IPBUSEQ,0.11877112951221526,0.03378189059379988,0.5897435897435898,0.6721311475409836
CPIAUCSL,3,CUSR0000SA0L2,0.08809166692947566,0.09995113625589225,0.20512820512820512,0.657103825136612
CPIAUCSL,3,CUSR0000SAS,0.0578773986357408,0.09569590722534072,0.3076923076923077,0.6475409836065573
CPIAUCSL,3,CP3Mx,0.15354506724666536,0.12000603968030532,0.05128205128205128,0.6379781420765027
CPIAUCSL,3,TOTRESNS,0.08467093785530447,0.04739404860181917,0.38461538461538464,0.6297814207650273
CPIAUCSL,3,EXSZUSx,0.03653224872017225,0.08423638875028239,0.46153846153846156,0.6297814207650273
CPIAUCSL,3,GS10,0.196723046947571,0.05062543785278928,0.1282051282051282,0.6202185792349727
CPIAUCSL,3,CPIAUCSL,0.09722926225303873,0.0660991193262368,0.1282051282051282,0.6010928961748635
CPIAUCSL,3,EXJPUSx,0.04295236723893247,0.05700703504730997,0.4358974358974359,0.6010928961748633
CPIAUCSL,3,CUSR0000SA0L5,0.09948545598827893,0.11787766651252474,0.02564102564102564,0.5901639344262294
