feature,domain_selected,CPIAUCSL_h1_score,CPIAUCSL_h1_lasso_freq,CPIAUCSL_h3_score,CPIAUCSL_h3_lasso_freq,CPIAUCSL_h6_score,CPIAUCSL_h6_lasso_freq,CPIAUCSL_h12_score,CPIAUCSL_h12_lasso_freq,S&P 500_h1_score,S&P 500_h1_lasso_freq,S&P 500_h3_score,S&P 500_h3_lasso_freq,S&P 500_h6_score,S&P 500_h6_lasso_freq,S&P 500_h12_score,S&P 500_h12_lasso_freq,mean_rank_score,max_lasso_frequency,selected_recommendation,description
DMANEMP,0,0.43852459016393447,0.02564102564102564,0.41803278688524587,0.07692307692307693,0.5751366120218578,0.20512820512820512,0.4576502732240437,0.0,0.3989071038251366,0.0,0.5737704918032787,0.0,0.7281420765027322,0.0,0.7199453551912569,0.0,0.5387636612021858,0.20512820512820512,0,
IPBUSEQ,0,0.5204918032786886,0.3333333333333333,0.6721311475409836,0.5897435897435898,0.546448087431694,0.5897435897435898,0.43579234972677594,0.23076923076923078,0.43715846994535523,0.0,0.5491803278688524,0.15384615384615385,0.5286885245901639,0.0,0.5765027322404371,0.07692307692307693,0.5332991803278688,0.5897435897435898,0,
USGOOD,0,0.3674863387978142,0.05128205128205128,0.39890710382513656,0.0,0.3948087431693989,0.0,0.3852459016393442,0.1282051282051282,0.46994535519125685,0.0,0.685792349726776,0.0,0.7363387978142076,0.0,0.8278688524590164,0.05128205128205128,0.5332991803278688,0.1282051282051282,0,
SRVPRD,0,0.5177595628415301,0.02564102564102564,0.3729508196721311,0.05128205128205128,0.4795081967213115,0.07692307692307693,0.5683060109289618,0.20512820512820512,0.5191256830601093,0.0,0.5819672131147541,0.0,0.569672131147541,0.0,0.6161202185792349,0.0,0.5281762295081968,0.20512820512820512,0,
CE16OV,0,0.2855191256830601,0.05128205128205128,0.42076502732240434,0.10256410256410256,0.4057377049180328,0.1794871794871795,0.4412568306010929,0.10256410256410256,0.7185792349726775,0.0,0.7950819672131147,0.02564102564102564,0.5915300546448088,0.0,0.5368852459016394,0.0,0.5244193989071039,0.1794871794871795,0,
PAYEMS,0,0.5382513661202185,0.3076923076923077,0.3551912568306011,0.0,0.4357923497267759,0.0,0.45901639344262296,0.07692307692307693,0.5327868852459017,0.0,0.5382513661202185,0.0,0.6816939890710382,0.0,0.5806010928961749,0.0,0.5151980874316939,0.3076923076923077,0,
USTRADE,0,0.4330601092896176,0.02564102564102564,0.5409836065573771,0.10256410256410256,0.4890710382513661,0.15384615384615385,0.7049180327868854,0.38461538461538464,0.36065573770491804,0.0,0.7281420765027322,0.10256410256410256,0.5396174863387979,0.0,0.31010928961748635,0.0,0.5133196721311476,0.38461538461538464,0,
CLF16OV,0,0.3879781420765027,0.07692307692307693,0.5040983606557377,0.23076923076923078,0.6092896174863388,0.3333333333333333,0.5710382513661202,0.28205128205128205,0.592896174863388,0.0,0.46174863387978143,0.0,0.48224043715846987,0.0,0.48497267759562845,0.0,0.5117827868852458,0.3333333333333333,0,
S&P div yield,0,0.37021857923497264,0.6923076923076923,0.41803278688524587,0.02564102564102564,0.5136612021857924,0.28205128205128205,0.5956284153005466,0.358974358974359,0.7827868852459017,0.02564102564102564,0.5027322404371585,0.0,0.4726775956284153,0.0,0.3756830601092896,0.0,0.5039275956284154,0.6923076923076923,0,
CUSR0000SA0L5,0,0.8292349726775957,0.5641025641025641,0.5901639344262294,0.02564102564102564,0.5327868852459016,0.10256410256410256,0.4931693989071038,0.15384615384615385,0.5081967213114754,0.0,0.3442622950819672,0.0,0.4658469945355191,0.0,0.2581967213114754,0.0,0.5027322404371585,0.5641025641025641,0,
HWI,0,0.3715846994535519,0.5128205128205128,0.4959016393442623,0.28205128205128205,0.41393442622950816,0.46153846153846156,0.383879781420765,0.28205128205128205,0.30327868852459017,0.0,0.7363387978142076,0.3076923076923077,0.6256830601092896,0.2564102564102564,0.6803278688524591,0.4358974358974359,0.5013661202185793,0.5128205128205128,0,
CUSR0000SA0L2,0,0.6762295081967213,0.05128205128205128,0.657103825136612,0.20512820512820512,0.5573770491803279,0.4358974358974359,0.6584699453551913,0.38461538461538464,0.4754098360655738,0.0,0.24590163934426232,0.0,0.2937158469945355,0.0,0.39207650273224043,0.0,0.4945355191256831,0.4358974358974359,0,
S&P 500,0,0.4193989071038251,0.3333333333333333,0.3469945355191257,0.4358974358974359,0.3087431693989071,0.38461538461538464,0.38114754098360654,0.3333333333333333,0.9918032786885247,0.6153846153846154,0.4972677595628416,0.0,0.46174863387978143,0.0,0.5423497267759563,0.0,0.493681693989071,0.6153846153846154,0,
ISRATIOx,0,0.7254098360655737,0.8974358974358975,0.505464480874317,0.8205128205128205,0.5601092896174863,0.6923076923076923,0.5081967213114754,0.38461538461538464,0.37978142076502736,0.0,0.4726775956284153,0.0,0.2377049180327869,0.0,0.5423497267759563,0.02564102564102564,0.4914617486338798,0.8974358974358975,0,
